# Tue Oct 28 14:34:01 EDT 2008
# c0.cs.unh.edu 2.6.26.3-29.fc9.x86_64 x86_64 GNU/Linux
# Board: grid/jordan_unit_four-way_1200x2000_2
# Average over 5 runs
# time (sec)      threads         weight          nblocks/thread 
  2.1960          1               1.10            1              
  2.2340          1               1.10            2              
  2.2440          1               1.10            3              
  2.2620          1               1.10            4              
  2.2660          1               1.10            5              
  2.2820          1               1.10            6              
  2.2940          1               1.10            7              
  2.3060          1               1.10            8              
  2.3300          1               1.10            9              
  2.4000          1               1.20            1              
  2.4320          1               1.20            2              
  2.4480          1               1.20            3              
  2.4980          1               1.20            4              
  2.4560          1               1.20            5              
  2.5200          1               1.20            6              
  2.5360          1               1.20            7              
  2.4920          1               1.20            8              
  2.5000          1               1.20            9              
  2.4460          1               1.30            1              
  2.4500          1               1.30            2              
  2.5220          1               1.30            3              
  2.4880          1               1.30            4              
  2.5200          1               1.30            5              
  2.5140          1               1.30            6              
  2.5060          1               1.30            7              
  2.5060          1               1.30            8              
  2.5200          1               1.30            9              
  2.5780          1               1.40            1              
  2.6480          1               1.40            2              
  2.6600          1               1.40            3              
  2.6400          1               1.40            4              
  2.6800          1               1.40            5              
  2.6580          1               1.40            6              
  2.6760          1               1.40            7              
  2.6960          1               1.40            8              
  2.7080          1               1.40            9              
  2.6800          1               1.50            1              
  2.7260          1               1.50            2              
  2.7880          1               1.50            3              
  2.7820          1               1.50            4              
  2.8000          1               1.50            5              
  2.8160          1               1.50            6              
  2.8280          1               1.50            7              
  2.8440          1               1.50            8              
  2.8520          1               1.50            9              
  2.2720          2               1.10            1              
  2.3340          2               1.10            2              
  2.0400          2               1.10            3              
  1.9360          2               1.10            4              
  1.9480          2               1.10            5              
  2.0060          2               1.10            6              
  2.0480          2               1.10            7              
  2.0680          2               1.10            8              
  2.1340          2               1.10            9              
  2.4740          2               1.20            1              
  2.5600          2               1.20            2              
  2.1960          2               1.20            3              
  2.1400          2               1.20            4              
  2.0960          2               1.20            5              
  2.1300          2               1.20            6              
  2.1820          2               1.20            7              
  2.2120          2               1.20            8              
  2.2580          2               1.20            9              
  2.4960          2               1.30            1              
  2.5480          2               1.30            2              
  2.2100          2               1.30            3              
  2.1340          2               1.30            4              
  2.0700          2               1.30            5              
  2.1360          2               1.30            6              
  2.2160          2               1.30            7              
  2.2320          2               1.30            8              
  2.2740          2               1.30            9              
  2.6500          2               1.40            1              
  2.7080          2               1.40            2              
  2.2620          2               1.40            3              
  2.2340          2               1.40            4              
  2.1940          2               1.40            5              
  2.2180          2               1.40            6              
  2.2880          2               1.40            7              
  2.2360          2               1.40            8              
  2.3740          2               1.40            9              
  2.7600          2               1.50            1              
  2.8580          2               1.50            2              
  2.3800          2               1.50            3              
  2.3600          2               1.50            4              
  2.2840          2               1.50            5              
  2.3060          2               1.50            6              
  2.3920          2               1.50            7              
  2.4080          2               1.50            8              
  2.4960          2               1.50            9              
  2.3500          3               1.10            1              
  2.1200          3               1.10            2              
  1.8060          3               1.10            3              
  1.7220          3               1.10            4              
  1.8280          3               1.10            5              
  1.9660          3               1.10            6              
  2.0640          3               1.10            7              
  2.1540          3               1.10            8              
  2.3380          3               1.10            9              
  2.5680          3               1.20            1              
  2.3020          3               1.20            2              
  2.0680          3               1.20            3              
  1.8680          3               1.20            4              
  1.9560          3               1.20            5              
  2.0280          3               1.20            6              
  2.0960          3               1.20            7              
  2.2140          3               1.20            8              
  2.3000          3               1.20            9              
  2.5560          3               1.30            1              
  2.3240          3               1.30            2              
  2.0480          3               1.30            3              
  1.8580          3               1.30            4              
  1.8920          3               1.30            5              
  2.0580          3               1.30            6              
  2.0760          3               1.30            7              
  2.2040          3               1.30            8              
  2.2980          3               1.30            9              
  2.7160          3               1.40            1              
  2.3840          3               1.40            2              
  2.1000          3               1.40            3              
  1.9720          3               1.40            4              
  2.0120          3               1.40            5              
  2.0560          3               1.40            6              
  2.1120          3               1.40            7              
  2.2400          3               1.40            8              
  2.2860          3               1.40            9              
  2.9020          3               1.50            1              
  2.4780          3               1.50            2              
  2.2180          3               1.50            3              
  2.0860          3               1.50            4              
  2.1220          3               1.50            5              
  2.1840          3               1.50            6              
  2.2760          3               1.50            7              
  2.3200          3               1.50            8              
  2.4120          3               1.50            9              
  2.4500          4               1.10            1              
  2.2120          4               1.10            2              
  1.8360          4               1.10            3              
  1.6960          4               1.10            4              
  1.9120          4               1.10            5              
  2.0680          4               1.10            6              
  2.1680          4               1.10            7              
  2.4340          4               1.10            8              
  2.7000          4               1.10            9              
  2.6420          4               1.20            1              
  2.3640          4               1.20            2              
  1.8820          4               1.20            3              
  1.8340          4               1.20            4              
  1.9560          4               1.20            5              
  2.1820          4               1.20            6              
  2.2040          4               1.20            7              
  2.5200          4               1.20            8              
  2.6480          4               1.20            9              
  2.7140          4               1.30            1              
  2.3420          4               1.30            2              
  1.9640          4               1.30            3              
  1.7540          4               1.30            4              
  1.9260          4               1.30            5              
  2.1060          4               1.30            6              
  2.1020          4               1.30            7              
  2.3660          4               1.30            8              
  2.5760          4               1.30            9              
  2.8300          4               1.40            1              
  2.4800          4               1.40            2              
  1.9980          4               1.40            3              
  1.8600          4               1.40            4              
  2.0240          4               1.40            5              
  2.1160          4               1.40            6              
  2.2580          4               1.40            7              
  2.4480          4               1.40            8              
  2.7580          4               1.40            9              
  2.9820          4               1.50            1              
  2.5880          4               1.50            2              
  2.1040          4               1.50            3              
  1.9040          4               1.50            4              
  2.1060          4               1.50            5              
  2.2360          4               1.50            6              
  2.2700          4               1.50            7              
  2.4960          4               1.50            8              
  2.7060          4               1.50            9              
  2.6240          5               1.10            1              
  1.8800          5               1.10            2              
  1.8800          5               1.10            3              
  1.9120          5               1.10            4              
  2.1200          5               1.10            5              
  2.4160          5               1.10            6              
  2.7900          5               1.10            7              
  3.0820          5               1.10            8              
  3.2920          5               1.10            9              
  2.8560          5               1.20            1              
  2.0000          5               1.20            2              
  1.9820          5               1.20            3              
  1.9460          5               1.20            4              
  2.0480          5               1.20            5              
  2.3900          5               1.20            6              
  2.8220          5               1.20            7              
  3.0080          5               1.20            8              
  3.4140          5               1.20            9              
  2.8240          5               1.30            1              
  1.9800          5               1.30            2              
  1.9940          5               1.30            3              
  1.9040          5               1.30            4              
  2.1040          5               1.30            5              
  2.4660          5               1.30            6              
  2.7860          5               1.30            7              
