# Thu Oct 30 08:44:22 EDT 2008
# c0.cs.unh.edu 2.6.26.3-29.fc9.x86_64 x86_64 GNU/Linux
# Board: grid/jordan_unit_four-way_1200x2000_2
# Cost: 2137
# Average over 5 runs
# time (sec)      threads         nblocks/thread 
  2.3080          1               1              
  4.9480          1               2              
  4.1900          1               3              
  4.6960          1               4              
  4.8740          1               5              
  2.2120          1               6              
  2.1980          1               7              
  2.1500          1               8              
  2.1400          1               9              
  4.9480          2               1              
  4.7040          2               2              
  2.8820          2               3              
  4.2200          2               4              
  1.5580          2               5              
  1.5160          2               6              
  1.5060          2               7              
  1.5040          2               8              
  1.5040          2               9              
  4.2020          3               1              
  2.8860          3               2              
  3.5580          3               3              
  2.3460          3               4              
  1.3340          3               5              
  1.3000          3               6              
  1.3220          3               7              
  1.2900          3               8              
  1.3240          3               9              
  4.7280          4               1              
  4.1080          4               2              
  2.9020          4               3              
  2.0280          4               4              
  1.3160          4               5              
  1.2040          4               6              
  1.2340          4               7              
  1.2800          4               8              
  1.2680          4               9              
  4.9420          5               1              
  3.3020          5               2              
  2.5220          5               3              
  1.7440          5               4              
  1.2740          5               5              
  1.2420          5               6              
  1.2700          5               7              
  1.3240          5               8              
  1.2980          5               9              
  2.9100          6               1              
  3.3420          6               2              
  2.3620          6               3              
  1.6160          6               4              
  1.4080          6               5              
  1.3280          6               6              
  1.3600          6               7              
  1.4220          6               8              
  1.4340          6               9              
  6.5120          7               1              
  2.6740          7               2              
  2.2900          7               3              
  1.8160          7               4              
  1.6520          7               5              
  1.5140          7               6              
  1.6140          7               7              
  1.4880          7               8              
  1.5380          7               9              
  4.0360          8               1              
  2.9880          8               2              
  2.0820          8               3              
  1.8200          8               4              
  1.7640          8               5              
  1.6900          8               6              
  1.5940          8               7              
  1.4900          8               8              
  1.5120          8               9              
