# Thu Oct 30 09:04:46 EDT 2008
# c0.cs.unh.edu 2.6.26.3-29.fc9.x86_64 x86_64 GNU/Linux
# Board: grid/jordan_unit_four-way_1200x2000_1
# Cost: 2311
# Average over 5 runs
# time (sec)      threads         nblocks/thread 
  4.0260          1               1              
  8.9400          1               2              
  8.2980          1               3              
  10.9760         1               4              
  10.8800         1               5              
  3.9100          1               6              
  3.8420          1               7              
  3.7960          1               8              
  3.7900          1               9              
  8.9320          2               1              
  10.9600         2               2              
  5.2000          2               3              
  9.2860          2               4              
  2.8200          2               5              
  2.6980          2               6              
  2.7440          2               7              
  2.7140          2               8              
  2.7320          2               9              
  8.3300          3               1              
  5.1840          3               2              
  6.8940          3               3              
  4.4720          3               4              
  2.2980          3               5              
  2.2920          3               6              
  2.2620          3               7              
  2.2800          3               8              
  2.3500          3               9              
  10.9800         4               1              
  8.0400          4               2              
  5.6760          4               3              
  2.9960          4               4              
  2.2140          4               5              
  2.2000          4               6              
  2.2760          4               7              
  2.2500          4               8              
  2.3060          4               9              
  11.0060         5               1              
  7.4740          5               2              
  6.0780          5               3              
  2.5340          5               4              
  2.3060          5               5              
  2.2280          5               6              
  2.2680          5               7              
  2.3660          5               8              
  2.4320          5               9              
  5.3280          6               1              
  7.2660          6               2              
  5.2880          6               3              
  2.7740          6               4              
  2.5060          6               5              
  2.4500          6               6              
  2.4420          6               7              
  2.6420          6               8              
  2.6020          6               9              
  12.0080         7               1              
  6.9780          7               2              
  4.8580          7               3              
  3.0620          7               4              
  3.0820          7               5              
  2.9900          7               6              
  2.7640          7               7              
  2.8860          7               8              
  2.9420          7               9              
  9.5800          8               1              
  6.7120          8               2              
  4.4320          8               3              
  3.3480          8               4              
  3.4780          8               5              
  3.4520          8               6              
  3.5000          8               7              
  3.6500          8               8              
  3.6860          8               9              
